# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_000369-T1 FUN_000369	-	-	Y (0.96)	Non-effector
FUN_000370-T1 FUN_000370	-	-	Y (0.595)	Non-effector
FUN_000371-T1 FUN_000371	-	-	Y (0.874)	Non-effector
FUN_000372-T1 FUN_000372	-	-	Y (0.981)	Non-effector
FUN_000373-T1 FUN_000373	-	-	Y (0.767)	Non-effector
FUN_000374-T1 FUN_000374	-	-	Y (0.706)	Non-effector
FUN_000375-T1 FUN_000375	-	-	Y (0.689)	Non-effector
FUN_000376-T1 FUN_000376	-	-	Y (0.558)	Non-effector
FUN_000377-T1 FUN_000377	-	-	Y (0.628)	Non-effector
FUN_000378-T1 FUN_000378	-	-	Y (0.671)	Non-effector
FUN_000379-T1 FUN_000379	-	-	Y (0.821)	Non-effector
FUN_000380-T1 FUN_000380	Y (0.614)	-	-	Cytoplasmic effector
FUN_000381-T1 FUN_000381	Y (0.591)	-	-	Cytoplasmic effector
FUN_000382-T1 FUN_000382	-	-	Y (0.505)	Non-effector
FUN_000383-T1 FUN_000383	-	-	Y (0.988)	Non-effector
FUN_000384-T1 FUN_000384	-	-	Y (0.827)	Non-effector
FUN_000385-T1 FUN_000385	Y (0.67)	Y (0.607)	-	Cytoplasmic/apoplastic effector
FUN_000386-T1 FUN_000386	-	Y (0.898)	-	Apoplastic effector
FUN_000387-T1 FUN_000387	-	-	Y (0.627)	Non-effector
FUN_000388-T1 FUN_000388	-	Y (0.759)	-	Apoplastic effector
FUN_000389-T1 FUN_000389	-	-	Y (0.924)	Non-effector
FUN_000390-T1 FUN_000390	Y (0.624)	-	-	Cytoplasmic effector
FUN_000391-T1 FUN_000391	Y (0.773)	-	-	Cytoplasmic effector
FUN_000392-T1 FUN_000392	-	-	Y (0.762)	Non-effector
FUN_000393-T1 FUN_000393	-	-	Y (0.966)	Non-effector
FUN_000394-T1 FUN_000394	-	-	Y (0.849)	Non-effector
FUN_000395-T1 FUN_000395	-	-	Y (0.759)	Non-effector
FUN_000396-T1 FUN_000396	-	-	Y (0.555)	Non-effector
FUN_000397-T1 FUN_000397	Y (0.521)	-	-	Cytoplasmic effector
FUN_000398-T1 FUN_000398	Y (0.874)	-	-	Cytoplasmic effector
FUN_000399-T1 FUN_000399	Y (0.794)	-	-	Cytoplasmic effector
FUN_000400-T1 FUN_000400	-	-	Y (0.622)	Non-effector
FUN_000401-T1 FUN_000401	-	-	Y (0.774)	Non-effector
FUN_000402-T1 FUN_000402	-	-	Y (0.95)	Non-effector
FUN_000403-T1 FUN_000403	Y (0.794)	-	-	Cytoplasmic effector
FUN_000404-T1 FUN_000404	-	-	Y (0.777)	Non-effector
FUN_000405-T1 FUN_000405	-	-	Y (0.973)	Non-effector
FUN_000406-T1 FUN_000406	-	-	Y (0.965)	Non-effector
FUN_000407-T1 FUN_000407	-	-	Y (0.988)	Non-effector
FUN_000408-T1 FUN_000408	Y (0.849)	-	-	Cytoplasmic effector
FUN_000409-T1 FUN_000409	-	-	Y (0.585)	Non-effector
FUN_000409-T2 FUN_000409	-	-	Y (0.543)	Non-effector
FUN_000410-T1 FUN_000410	-	-	Y (0.703)	Non-effector
FUN_000411-T1 FUN_000411	-	-	Y (0.791)	Non-effector
FUN_000412-T1 FUN_000412	-	-	Y (0.91)	Non-effector
FUN_000413-T1 FUN_000413	Y (0.843)	-	-	Cytoplasmic effector
FUN_000414-T1 FUN_000414	Y (0.685)	-	-	Cytoplasmic effector
FUN_000415-T1 FUN_000415	Y (0.777)	-	-	Cytoplasmic effector
FUN_000416-T1 FUN_000416	-	-	Y (0.961)	Non-effector
FUN_000417-T1 FUN_000417	Y (0.687)	-	-	Cytoplasmic effector
FUN_000418-T1 FUN_000418	-	-	Y (0.887)	Non-effector
FUN_000419-T1 FUN_000419	-	-	Y (0.858)	Non-effector
FUN_000420-T1 FUN_000420	-	-	Y (0.59)	Non-effector
FUN_000422-T1 FUN_000422	Y (0.644)	-	-	Cytoplasmic effector
FUN_000423-T1 FUN_000423	Y (0.818)	-	-	Cytoplasmic effector
FUN_000424-T1 FUN_000424	-	-	Y (0.877)	Non-effector
FUN_000425-T1 FUN_000425	-	-	Y (0.775)	Non-effector
FUN_000426-T1 FUN_000426	-	-	Y (0.766)	Non-effector
FUN_000427-T1 FUN_000427	-	-	Y (0.871)	Non-effector
FUN_000428-T1 FUN_000428	Y (0.821)	-	-	Cytoplasmic effector
FUN_000429-T1 FUN_000429	-	-	Y (0.901)	Non-effector
FUN_000430-T1 FUN_000430	-	-	Y (0.939)	Non-effector
FUN_000431-T1 FUN_000431	-	-	Y (0.728)	Non-effector
FUN_000432-T1 FUN_000432	-	-	Y (0.544)	Non-effector
FUN_000433-T1 FUN_000433	-	-	Y (0.569)	Non-effector
FUN_000434-T1 FUN_000434	-	-	Y (0.895)	Non-effector
FUN_000435-T1 FUN_000435	Y (0.691)	-	-	Cytoplasmic effector
FUN_000436-T1 FUN_000436	Y (0.93)	-	-	Cytoplasmic effector
FUN_000437-T1 FUN_000437	Y (0.584)	-	-	Cytoplasmic effector
FUN_000438-T1 FUN_000438	-	-	Y (0.622)	Non-effector
FUN_000439-T1 FUN_000439	Y (0.63)	Y (0.519)	-	Cytoplasmic/apoplastic effector
FUN_000440-T1 FUN_000440	-	-	Y (0.988)	Non-effector
FUN_000441-T1 FUN_000441	Y (0.664)	-	-	Cytoplasmic effector
FUN_000442-T1 FUN_000442	Y (0.57)	-	-	Cytoplasmic effector
FUN_000443-T1 FUN_000443	-	-	Y (0.988)	Non-effector
FUN_000443-T2 FUN_000443	-	-	Y (0.954)	Non-effector
FUN_000444-T1 FUN_000444	-	-	Y (0.627)	Non-effector
FUN_000445-T1 FUN_000445	-	-	Y (0.939)	Non-effector
FUN_000446-T1 FUN_000446	-	-	Y (0.929)	Non-effector
FUN_000447-T1 FUN_000447	-	-	Y (0.633)	Non-effector
FUN_000448-T1 FUN_000448	Y (0.763)	-	-	Cytoplasmic effector
FUN_000449-T1 FUN_000449	-	-	Y (0.666)	Non-effector
FUN_000450-T1 FUN_000450	Y (0.572)	-	-	Cytoplasmic effector
FUN_000451-T1 FUN_000451	-	-	Y (0.584)	Non-effector
FUN_000452-T1 FUN_000452	-	-	Y (0.69)	Non-effector
FUN_000453-T1 FUN_000453	-	-	Y (0.923)	Non-effector
FUN_000454-T1 FUN_000454	-	-	Y (0.863)	Non-effector
FUN_000455-T1 FUN_000455	-	-	Y (0.749)	Non-effector
FUN_000456-T1 FUN_000456	Y (0.767)	-	-	Cytoplasmic effector
FUN_000457-T1 FUN_000457	Y (0.733)	-	-	Cytoplasmic effector
FUN_000458-T1 FUN_000458	-	-	Y (0.711)	Non-effector
FUN_000459-T1 FUN_000459	-	-	Y (0.708)	Non-effector
FUN_000460-T1 FUN_000460	-	-	Y (0.907)	Non-effector
FUN_000461-T1 FUN_000461	-	-	Y (0.698)	Non-effector
FUN_000462-T1 FUN_000462	-	-	Y (0.517)	Non-effector
FUN_000463-T1 FUN_000463	-	-	Y (0.968)	Non-effector
FUN_000464-T1 FUN_000464	-	-	Y (0.922)	Non-effector
FUN_000465-T1 FUN_000465	Y (0.778)	-	-	Cytoplasmic effector
FUN_000466-T1 FUN_000466	-	-	Y (0.865)	Non-effector
FUN_000467-T1 FUN_000467	-	-	Y (0.61)	Non-effector
FUN_000468-T1 FUN_000468	-	-	Y (0.991)	Non-effector
FUN_000469-T1 FUN_000469	-	-	Y (0.929)	Non-effector
FUN_000470-T1 FUN_000470	-	-	Y (0.81)	Non-effector
FUN_000471-T1 FUN_000471	-	-	Y (0.906)	Non-effector
FUN_000472-T1 FUN_000472	-	-	Y (0.835)	Non-effector
FUN_000473-T1 FUN_000473	-	-	Y (0.955)	Non-effector
FUN_000474-T1 FUN_000474	-	-	Y (0.956)	Non-effector
FUN_000474-T2 FUN_000474	-	-	Y (0.926)	Non-effector
FUN_000475-T1 FUN_000475	Y (0.776)	-	-	Cytoplasmic effector
FUN_000476-T1 FUN_000476	-	-	Y (0.854)	Non-effector
FUN_000477-T1 FUN_000477	-	-	Y (0.72)	Non-effector
FUN_000478-T1 FUN_000478	-	-	Y (0.977)	Non-effector
FUN_000479-T1 FUN_000479	Y (0.585)	Y (0.866)	-	Apoplastic/cytoplasmic effector
FUN_000480-T1 FUN_000480	-	Y (0.586)	-	Apoplastic effector
FUN_000481-T1 FUN_000481	Y (0.757)	-	-	Cytoplasmic effector
FUN_000482-T1 FUN_000482	-	-	Y (0.81)	Non-effector
FUN_000483-T1 FUN_000483	Y (0.628)	-	-	Cytoplasmic effector
FUN_000484-T1 FUN_000484	-	-	Y (0.904)	Non-effector
FUN_000485-T1 FUN_000485	-	-	Y (0.784)	Non-effector
FUN_000486-T1 FUN_000486	-	-	Y (0.709)	Non-effector
FUN_000487-T1 FUN_000487	Y (0.545)	-	-	Cytoplasmic effector
FUN_000488-T1 FUN_000488	-	-	Y (0.94)	Non-effector
FUN_000488-T2 FUN_000488	-	-	Y (0.976)	Non-effector
FUN_000488-T3 FUN_000488	-	-	Y (0.952)	Non-effector
FUN_000490-T1 FUN_000490	-	-	Y (0.822)	Non-effector
FUN_000491-T1 FUN_000491	Y (0.549)	-	-	Cytoplasmic effector
FUN_000492-T1 FUN_000492	-	-	Y (0.902)	Non-effector
FUN_000493-T1 FUN_000493	Y (0.882)	-	-	Cytoplasmic effector
FUN_000494-T1 FUN_000494	-	-	Y (0.982)	Non-effector
FUN_000495-T1 FUN_000495	-	-	Y (0.866)	Non-effector
FUN_000496-T1 FUN_000496	-	-	Y (0.967)	Non-effector
FUN_000497-T1 FUN_000497	-	-	Y (0.895)	Non-effector
FUN_000498-T1 FUN_000498	-	-	Y (0.659)	Non-effector
FUN_000499-T1 FUN_000499	-	-	Y (0.909)	Non-effector
FUN_000500-T1 FUN_000500	-	-	Y (0.749)	Non-effector
FUN_000501-T1 FUN_000501	Y (0.767)	-	-	Cytoplasmic effector
FUN_000502-T1 FUN_000502	Y (0.61)	-	-	Cytoplasmic effector
FUN_000503-T1 FUN_000503	-	-	Y (0.79)	Non-effector
FUN_000504-T1 FUN_000504	-	-	Y (0.668)	Non-effector
FUN_000505-T1 FUN_000505	-	-	Y (0.567)	Non-effector
FUN_000506-T1 FUN_000506	Y (0.51)	-	-	Cytoplasmic effector
FUN_000507-T1 FUN_000507	Y (0.889)	-	-	Cytoplasmic effector
FUN_000508-T1 FUN_000508	Y (0.795)	-	-	Cytoplasmic effector
FUN_000509-T1 FUN_000509	Y (0.509)	-	-	Cytoplasmic effector
FUN_000510-T1 FUN_000510	-	-	Y (0.988)	Non-effector
FUN_000511-T1 FUN_000511	-	-	Y (0.849)	Non-effector
FUN_000512-T1 FUN_000512	-	-	Y (0.901)	Non-effector
FUN_000513-T1 FUN_000513	-	-	Y (0.836)	Non-effector
FUN_000514-T1 FUN_000514	Y (0.666)	-	-	Cytoplasmic effector
FUN_000515-T1 FUN_000515	Y (0.668)	-	-	Cytoplasmic effector
FUN_000516-T1 FUN_000516	-	-	Y (0.79)	Non-effector
FUN_000517-T1 FUN_000517	-	Y (0.847)	-	Apoplastic effector
FUN_000518-T1 FUN_000518	-	-	Y (0.689)	Non-effector
FUN_000519-T1 FUN_000519	Y (0.638)	-	-	Cytoplasmic effector
FUN_000520-T1 FUN_000520	-	-	Y (0.955)	Non-effector
FUN_000521-T1 FUN_000521	-	-	Y (0.891)	Non-effector
FUN_000522-T1 FUN_000522	Y (0.861)	-	-	Cytoplasmic effector
FUN_000523-T1 FUN_000523	-	-	Y (0.814)	Non-effector
FUN_000524-T1 FUN_000524	Y (0.778)	-	-	Cytoplasmic effector
FUN_000525-T1 FUN_000525	-	-	Y (0.935)	Non-effector
FUN_000526-T1 FUN_000526	-	-	Y (0.988)	Non-effector
FUN_000527-T1 FUN_000527	-	-	Y (0.645)	Non-effector
FUN_000528-T1 FUN_000528	-	-	Y (0.723)	Non-effector
FUN_000529-T1 FUN_000529	Y (0.777)	-	-	Cytoplasmic effector
FUN_000530-T1 FUN_000530	Y (0.75)	-	-	Cytoplasmic effector
FUN_000530-T2 FUN_000530	Y (0.628)	-	-	Cytoplasmic effector
FUN_000531-T1 FUN_000531	-	-	Y (0.732)	Non-effector
FUN_000532-T1 FUN_000532	-	-	Y (0.736)	Non-effector
FUN_000533-T1 FUN_000533	-	-	Y (0.916)	Non-effector
FUN_000534-T1 FUN_000534	-	-	Y (0.705)	Non-effector
FUN_000535-T1 FUN_000535	-	-	Y (0.848)	Non-effector
FUN_000536-T1 FUN_000536	-	-	Y (0.789)	Non-effector
FUN_000537-T1 FUN_000537	-	-	Y (0.941)	Non-effector
FUN_000538-T1 FUN_000538	Y (0.72)	-	-	Cytoplasmic effector
FUN_000539-T1 FUN_000539	-	-	Y (0.649)	Non-effector
FUN_000540-T1 FUN_000540	-	-	Y (0.655)	Non-effector
FUN_000541-T1 FUN_000541	-	-	Y (0.527)	Non-effector
FUN_000542-T1 FUN_000542	-	-	Y (0.778)	Non-effector
FUN_000543-T1 FUN_000543	Y (0.924)	-	-	Cytoplasmic effector
FUN_000544-T1 FUN_000544	-	-	Y (0.961)	Non-effector
FUN_000545-T1 FUN_000545	-	-	Y (0.804)	Non-effector
FUN_000546-T1 FUN_000546	-	-	Y (0.737)	Non-effector
FUN_000546-T2 FUN_000546	-	-	Y (0.865)	Non-effector
FUN_000547-T1 FUN_000547	-	-	Y (0.792)	Non-effector
FUN_000548-T1 FUN_000548	Y (0.645)	-	-	Cytoplasmic effector
FUN_000549-T1 FUN_000549	-	-	Y (0.811)	Non-effector
FUN_000550-T1 FUN_000550	-	-	Y (0.62)	Non-effector
FUN_000551-T1 FUN_000551	Y (0.799)	-	-	Cytoplasmic effector
FUN_000552-T1 FUN_000552	Y (0.539)	-	-	Cytoplasmic effector
FUN_000553-T1 FUN_000553	-	-	Y (0.889)	Non-effector
FUN_000554-T1 FUN_000554	Y (0.649)	-	-	Cytoplasmic effector
FUN_000555-T1 FUN_000555	Y (0.788)	-	-	Cytoplasmic effector
FUN_000556-T1 FUN_000556	-	-	Y (0.694)	Non-effector
FUN_000557-T1 FUN_000557	-	-	Y (0.654)	Non-effector
FUN_000558-T1 FUN_000558	-	-	Y (0.951)	Non-effector
FUN_000559-T1 FUN_000559	-	-	Y (0.804)	Non-effector
FUN_000560-T1 FUN_000560	Y (0.791)	-	-	Cytoplasmic effector
FUN_000561-T1 FUN_000561	-	-	Y (0.987)	Non-effector
FUN_000562-T1 FUN_000562	-	-	Y (0.986)	Non-effector
FUN_000563-T1 FUN_000563	Y (0.782)	-	-	Cytoplasmic effector
FUN_000564-T1 FUN_000564	-	-	Y (0.551)	Non-effector
FUN_000565-T1 FUN_000565	Y (0.8)	-	-	Cytoplasmic effector
FUN_000566-T1 FUN_000566	Y (0.763)	-	-	Cytoplasmic effector
FUN_000567-T1 FUN_000567	-	-	Y (0.798)	Non-effector
FUN_000568-T1 FUN_000568	-	-	Y (0.545)	Non-effector
FUN_000569-T1 FUN_000569	-	-	Y (0.506)	Non-effector
FUN_000570-T1 FUN_000570	-	-	Y (0.969)	Non-effector
FUN_000571-T1 FUN_000571	-	-	Y (0.918)	Non-effector
FUN_000572-T1 FUN_000572	Y (0.889)	-	-	Cytoplasmic effector
FUN_000573-T1 FUN_000573	Y (0.793)	-	-	Cytoplasmic effector
FUN_000574-T1 FUN_000574	Y (0.908)	-	-	Cytoplasmic effector
FUN_000575-T1 FUN_000575	-	-	Y (0.914)	Non-effector
FUN_000576-T1 FUN_000576	-	-	Y (0.779)	Non-effector
FUN_000577-T1 FUN_000577	-	-	Y (0.969)	Non-effector
FUN_000578-T1 FUN_000578	-	-	Y (0.98)	Non-effector
FUN_000579-T1 FUN_000579	-	-	Y (0.905)	Non-effector
FUN_000580-T1 FUN_000580	-	-	Y (0.893)	Non-effector
FUN_000581-T1 FUN_000581	-	-	Y (0.713)	Non-effector
FUN_000582-T1 FUN_000582	-	-	Y (0.764)	Non-effector
FUN_000583-T1 FUN_000583	-	-	Y (0.912)	Non-effector
FUN_000584-T1 FUN_000584	Y (0.857)	-	-	Cytoplasmic effector
FUN_000585-T1 FUN_000585	-	-	Y (0.954)	Non-effector
FUN_000586-T1 FUN_000586	-	-	Y (0.912)	Non-effector
FUN_000587-T1 FUN_000587	-	-	Y (0.873)	Non-effector
FUN_000588-T1 FUN_000588	-	-	Y (0.922)	Non-effector
FUN_000589-T1 FUN_000589	-	-	Y (0.914)	Non-effector
FUN_000590-T1 FUN_000590	-	-	Y (0.629)	Non-effector
FUN_000591-T1 FUN_000591	-	-	Y (0.811)	Non-effector
FUN_000593-T1 FUN_000593	-	-	Y (0.974)	Non-effector
FUN_000594-T1 FUN_000594	-	-	Y (0.508)	Non-effector
FUN_000595-T1 FUN_000595	Y (0.838)	-	-	Cytoplasmic effector
FUN_000596-T1 FUN_000596	-	-	Y (0.855)	Non-effector
FUN_000597-T1 FUN_000597	-	-	Y (0.903)	Non-effector
FUN_000598-T1 FUN_000598	-	-	Y (0.985)	Non-effector
FUN_000599-T1 FUN_000599	-	-	Y (0.595)	Non-effector
FUN_000600-T1 FUN_000600	-	-	Y (0.855)	Non-effector
FUN_000601-T1 FUN_000601	-	-	Y (0.991)	Non-effector
FUN_000602-T1 FUN_000602	Y (0.528)	Y (0.553)	-	Apoplastic/cytoplasmic effector
FUN_000603-T1 FUN_000603	-	Y (0.702)	-	Apoplastic effector
FUN_000604-T1 FUN_000604	Y (0.73)	-	-	Cytoplasmic effector
FUN_000605-T1 FUN_000605	-	-	Y (0.836)	Non-effector
FUN_000606-T1 FUN_000606	-	-	Y (0.645)	Non-effector
FUN_000607-T1 FUN_000607	-	Y (0.525)	-	Apoplastic effector
FUN_000608-T1 FUN_000608	-	-	Y (0.831)	Non-effector
FUN_000609-T1 FUN_000609	-	Y (0.817)	-	Apoplastic effector
FUN_000610-T1 FUN_000610	Y (0.739)	-	-	Cytoplasmic effector
FUN_000611-T1 FUN_000611	Y (0.743)	-	-	Cytoplasmic effector
FUN_000612-T1 FUN_000612	Y (0.593)	-	-	Cytoplasmic effector
FUN_000613-T1 FUN_000613	Y (0.751)	-	-	Cytoplasmic effector
FUN_000614-T1 FUN_000614	-	-	Y (0.8)	Non-effector
FUN_000615-T1 FUN_000615	-	-	Y (0.786)	Non-effector
FUN_000616-T1 FUN_000616	Y (0.869)	-	-	Cytoplasmic effector
FUN_000617-T1 FUN_000617	-	-	Y (0.958)	Non-effector
FUN_000618-T1 FUN_000618	-	-	Y (0.74)	Non-effector
FUN_000619-T1 FUN_000619	-	-	Y (0.604)	Non-effector
FUN_000620-T1 FUN_000620	-	-	Y (0.969)	Non-effector
FUN_000621-T1 FUN_000621	Y (0.742)	-	-	Cytoplasmic effector
FUN_000622-T1 FUN_000622	Y (0.803)	-	-	Cytoplasmic effector
FUN_000623-T1 FUN_000623	Y (0.86)	-	-	Cytoplasmic effector
FUN_000624-T1 FUN_000624	Y (0.658)	Y (0.502)	-	Cytoplasmic/apoplastic effector
FUN_000625-T1 FUN_000625	-	-	Y (0.675)	Non-effector
FUN_000626-T1 FUN_000626	-	-	Y (0.609)	Non-effector
FUN_000627-T1 FUN_000627	Y (0.857)	-	-	Cytoplasmic effector
FUN_000628-T1 FUN_000628	Y (0.866)	-	-	Cytoplasmic effector
FUN_000629-T1 FUN_000629	-	-	Y (0.681)	Non-effector
FUN_000630-T1 FUN_000630	-	Y (0.534)	-	Apoplastic effector
FUN_000631-T1 FUN_000631	-	-	Y (0.975)	Non-effector
FUN_000632-T1 FUN_000632	-	-	Y (0.952)	Non-effector
FUN_000633-T1 FUN_000633	-	-	Y (0.866)	Non-effector
FUN_000634-T1 FUN_000634	Y (0.52)	-	-	Cytoplasmic effector
FUN_000635-T1 FUN_000635	Y (0.789)	-	-	Cytoplasmic effector
FUN_000636-T1 FUN_000636	-	-	Y (0.887)	Non-effector
FUN_000637-T1 FUN_000637	-	-	Y (0.987)	Non-effector
FUN_000638-T1 FUN_000638	-	-	Y (0.934)	Non-effector
FUN_000639-T1 FUN_000639	-	-	Y (0.674)	Non-effector
FUN_000640-T1 FUN_000640	-	-	Y (0.889)	Non-effector
FUN_000641-T1 FUN_000641	-	-	Y (0.933)	Non-effector
FUN_000642-T1 FUN_000642	Y (0.923)	-	-	Cytoplasmic effector
FUN_000643-T1 FUN_000643	Y (0.603)	-	-	Cytoplasmic effector
FUN_000644-T1 FUN_000644	-	Y (0.678)	-	Apoplastic effector
FUN_000645-T1 FUN_000645	-	-	Y (0.745)	Non-effector
FUN_000646-T1 FUN_000646	-	Y (0.787)	-	Apoplastic effector
FUN_000647-T1 FUN_000647	-	-	Y (0.535)	Non-effector
FUN_000648-T1 FUN_000648	-	-	Y (0.908)	Non-effector
FUN_000649-T1 FUN_000649	-	-	Y (0.924)	Non-effector
FUN_000650-T1 FUN_000650	-	-	Y (0.613)	Non-effector
FUN_000651-T1 FUN_000651	-	-	Y (0.797)	Non-effector
FUN_000652-T1 FUN_000652	-	-	Y (0.985)	Non-effector
FUN_000653-T1 FUN_000653	-	-	Y (0.521)	Non-effector
FUN_000654-T1 FUN_000654	-	-	Y (0.833)	Non-effector
FUN_000655-T1 FUN_000655	-	-	Y (0.502)	Non-effector
FUN_000656-T1 FUN_000656	-	Y (0.508)	-	Apoplastic effector
FUN_000657-T1 FUN_000657	-	-	Y (0.577)	Non-effector
FUN_000658-T1 FUN_000658	-	-	Y (0.675)	Non-effector
FUN_000659-T1 FUN_000659	Y (0.761)	-	-	Cytoplasmic effector
FUN_000660-T1 FUN_000660	-	-	Y (0.988)	Non-effector
FUN_000661-T1 FUN_000661	-	-	Y (0.637)	Non-effector
FUN_000662-T1 FUN_000662	-	-	Y (0.676)	Non-effector
FUN_000663-T1 FUN_000663	Y (0.526)	-	-	Cytoplasmic effector
FUN_000664-T1 FUN_000664	Y (0.888)	Y (0.669)	-	Cytoplasmic/apoplastic effector
FUN_000665-T1 FUN_000665	-	-	Y (0.537)	Non-effector
FUN_000666-T1 FUN_000666	-	-	Y (0.563)	Non-effector
FUN_000667-T1 FUN_000667	-	-	Y (0.988)	Non-effector
FUN_000668-T1 FUN_000668	-	-	Y (0.974)	Non-effector
FUN_000668-T2 FUN_000668	-	-	Y (0.871)	Non-effector
FUN_000669-T1 FUN_000669	-	-	Y (0.605)	Non-effector
FUN_000670-T1 FUN_000670	-	-	Y (0.713)	Non-effector
FUN_000671-T1 FUN_000671	-	-	Y (0.733)	Non-effector
FUN_000672-T1 FUN_000672	-	-	Y (0.955)	Non-effector
FUN_000673-T1 FUN_000673	-	-	Y (0.747)	Non-effector
FUN_000674-T1 FUN_000674	-	-	Y (0.805)	Non-effector
FUN_000675-T1 FUN_000675	Y (0.576)	-	-	Cytoplasmic effector
FUN_000676-T1 FUN_000676	-	-	Y (0.824)	Non-effector
FUN_000676-T2 FUN_000676	-	-	Y (0.734)	Non-effector
FUN_000677-T1 FUN_000677	-	-	Y (0.747)	Non-effector
FUN_000678-T1 FUN_000678	Y (0.684)	-	-	Cytoplasmic effector
FUN_000679-T1 FUN_000679	-	-	Y (0.981)	Non-effector
FUN_000680-T1 FUN_000680	-	-	Y (0.896)	Non-effector
FUN_000681-T1 FUN_000681	-	-	Y (0.637)	Non-effector
FUN_000682-T1 FUN_000682	-	-	Y (0.713)	Non-effector
FUN_000683-T1 FUN_000683	-	-	Y (0.751)	Non-effector
FUN_000684-T1 FUN_000684	-	-	Y (0.879)	Non-effector
FUN_000685-T1 FUN_000685	Y (0.538)	-	-	Cytoplasmic effector
FUN_000686-T1 FUN_000686	-	-	Y (0.586)	Non-effector
FUN_000687-T1 FUN_000687	Y (0.602)	-	-	Cytoplasmic effector
FUN_000688-T1 FUN_000688	-	-	Y (0.788)	Non-effector
FUN_000689-T1 FUN_000689	-	-	Y (0.638)	Non-effector
FUN_000690-T1 FUN_000690	-	-	Y (0.951)	Non-effector
FUN_000691-T1 FUN_000691	-	-	Y (0.955)	Non-effector
FUN_000692-T1 FUN_000692	-	-	Y (0.922)	Non-effector
FUN_000693-T1 FUN_000693	-	-	Y (0.512)	Non-effector
FUN_000694-T1 FUN_000694	-	-	Y (0.924)	Non-effector
FUN_000695-T1 FUN_000695	-	-	Y (0.649)	Non-effector
FUN_000696-T1 FUN_000696	-	-	Y (0.928)	Non-effector
FUN_000697-T1 FUN_000697	-	-	Y (0.74)	Non-effector
FUN_000698-T1 FUN_000698	Y (0.596)	Y (0.863)	-	Apoplastic/cytoplasmic effector
FUN_000699-T1 FUN_000699	-	-	Y (0.893)	Non-effector
FUN_000700-T1 FUN_000700	-	Y (0.672)	-	Apoplastic effector
FUN_000701-T1 FUN_000701	Y (0.761)	-	-	Cytoplasmic effector
FUN_000702-T1 FUN_000702	-	-	Y (0.625)	Non-effector
FUN_000703-T1 FUN_000703	Y (0.897)	-	-	Cytoplasmic effector
FUN_000704-T1 FUN_000704	-	-	Y (0.688)	Non-effector
FUN_000705-T1 FUN_000705	-	-	Y (0.937)	Non-effector
FUN_000705-T2 FUN_000705	-	-	Y (0.975)	Non-effector
FUN_000706-T1 FUN_000706	-	-	Y (0.764)	Non-effector
FUN_000707-T1 FUN_000707	-	-	Y (0.602)	Non-effector
FUN_000708-T1 FUN_000708	-	-	Y (0.738)	Non-effector
FUN_000709-T1 FUN_000709	-	Y (0.569)	-	Apoplastic effector
FUN_000710-T1 FUN_000710	-	-	Y (0.964)	Non-effector
FUN_000711-T1 FUN_000711	-	-	Y (0.909)	Non-effector
FUN_000712-T1 FUN_000712	-	-	Y (0.917)	Non-effector
FUN_000713-T1 FUN_000713	Y (0.847)	-	-	Cytoplasmic effector
FUN_000714-T1 FUN_000714	-	-	Y (0.702)	Non-effector
FUN_000715-T1 FUN_000715	-	-	Y (0.68)	Non-effector
FUN_000716-T1 FUN_000716	-	-	Y (0.814)	Non-effector
FUN_000717-T1 FUN_000717	-	-	Y (0.984)	Non-effector
FUN_000718-T1 FUN_000718	Y (0.642)	-	-	Cytoplasmic effector
FUN_000719-T1 FUN_000719	-	-	Y (0.588)	Non-effector
FUN_000720-T1 FUN_000720	-	-	Y (0.529)	Non-effector
FUN_000721-T1 FUN_000721	Y (0.721)	-	-	Cytoplasmic effector
FUN_000722-T1 FUN_000722	-	-	Y (0.988)	Non-effector
FUN_000723-T1 FUN_000723	-	-	Y (0.93)	Non-effector
FUN_000724-T1 FUN_000724	-	-	Y (0.521)	Non-effector
FUN_000725-T1 FUN_000725	Y (0.712)	-	-	Cytoplasmic effector
FUN_000726-T1 FUN_000726	-	-	Y (0.849)	Non-effector
FUN_000727-T1 FUN_000727	Y (0.771)	-	-	Cytoplasmic effector
FUN_000728-T1 FUN_000728	-	-	Y (0.777)	Non-effector
FUN_000729-T1 FUN_000729	Y (0.511)	-	-	Cytoplasmic effector
FUN_000730-T1 FUN_000730	Y (0.892)	-	-	Cytoplasmic effector
FUN_000731-T1 FUN_000731	-	-	Y (0.548)	Non-effector
FUN_000731-T2 FUN_000731	-	-	Y (0.751)	Non-effector
FUN_000732-T1 FUN_000732	-	-	Y (0.977)	Non-effector
FUN_000733-T1 FUN_000733	Y (0.633)	-	-	Cytoplasmic effector
FUN_000734-T1 FUN_000734	-	-	Y (0.963)	Non-effector
FUN_000735-T1 FUN_000735	-	-	Y (0.775)	Non-effector
FUN_000736-T1 FUN_000736	-	-	Y (0.555)	Non-effector
FUN_000737-T1 FUN_000737	-	-	Y (0.617)	Non-effector
FUN_000738-T1 FUN_000738	-	-	Y (0.715)	Non-effector
FUN_000739-T1 FUN_000739	Y (0.83)	-	-	Cytoplasmic effector
FUN_000740-T1 FUN_000740	-	-	Y (0.84)	Non-effector
FUN_000741-T1 FUN_000741	-	-	Y (0.887)	Non-effector
